demo,prank_filter,mean_val,demo_num
Asian,10th to 20th,0.055519392065204023,4
Asian,20th to 30th,0.05847515640474022,4
Asian,30th to 40th,0.06283514088301839,4
Asian,40th to 50th,0.06338878777765808,4
Asian,50th to 60th,0.06984314330723403,4
Asian,60th to 70th,0.07038568933923982,4
Asian,70th to 80th,0.07061074850254703,4
Asian,80th to 90th,0.07662655288631409,4
Asian,90th to 100th,0.06991848837482849,4
Asian,0 to 10th,0.058768330812801584,4
African American,10th to 20th,0.09881008976620614,3
African American,20th to 30th,0.1322022903917366,3
African American,30th to 40th,0.12414052694202167,3
African American,40th to 50th,0.13617114328294155,3
African American,50th to 60th,0.14435687003277878,3
African American,60th to 70th,0.1679159316896615,3
African American,70th to 80th,0.15008136237675573,3
African American,80th to 90th,0.1530373214750939,3
African American,90th to 100th,0.19063375179083802,3
African American,0 to 10th,0.076368410780603,3
Latino,10th to 20th,0.1520384320042111,2
Latino,20th to 30th,0.1918681575929483,2
Latino,30th to 40th,0.20003361555096075,2
Latino,40th to 50th,0.2140837415983026,2
Latino,50th to 60th,0.19396489993860297,2
Latino,60th to 70th,0.22724807943504563,2
Latino,70th to 80th,0.23813332313878435,2
Latino,80th to 90th,0.26306476155154385,2
Latino,90th to 100th,0.24773918148246646,2
Latino,0 to 10th,0.15655859094240848,2
White,10th to 20th,0.5286083345157969,1
White,20th to 30th,0.5348136633450131,1
White,30th to 40th,0.5552480336365079,1
White,40th to 50th,0.5325035799173876,1
White,50th to 60th,0.5508672226017333,1
White,60th to 70th,0.49976456350209225,1
White,70th to 80th,0.507359453602764,1
White,80th to 90th,0.46811073200461495,1
White,90th to 100th,0.45965845990461845,1
White,0 to 10th,0.5208317319603376,1
